original_City,lat,lon,formatted,district,suburb,name,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
Henderson,36.0301134,-114.9826194,"Henderson, NV, United States of America",,,,,Henderson,Clark County,Nevada,NV,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Los Angeles,34.0536909,-118.242766,"Los Angeles, CA, United States of America",,,,,Los Angeles,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fort Lauderdale,26.1223084,-80.1433786,"Fort Lauderdale, FL, United States of America",,,,,Fort Lauderdale,Broward County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Concord,43.207178,-71.537476,"Concord, NH, United States of America",,,,,Concord,Merrimack County,New Hampshire,NH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Seattle,47.6038321,-122.330062,"Seattle, WA, United States of America",,,,,Seattle,King County,Washington,WA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fort Worth,32.753177,-97.3327459,"Fort Worth, TX, United States of America",,,,,Fort Worth,Tarrant County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Madison,43.074761,-89.3837613,"Madison, WI, United States of America",,,,,Madison,Dane County,Wisconsin,WI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
West Jordan,40.6061308,-111.9396586,"West Jordan, UT, United States of America",,,,,West Jordan,Salt Lake County,Utah,UT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
San Francisco,37.7790262,-122.419906,"San Francisco, CA, United States of America",,,,,San Francisco,,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fremont,37.5482697,-121.988571,"Fremont, CA, United States of America",,,,,Fremont,Alameda County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Philadelphia,39.9527237,-75.1635262,"Philadelphia, PA, United States of America",,,,,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Orem,40.2981599,-111.6944313,"Orem, UT, United States of America",,,,,Orem,Utah County,Utah,UT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Houston,29.7589382,-95.3676974,"Houston, TX, United States of America",,,,,Houston,Harris County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Richardson,32.9481789,-96.7297206,"Richardson, TX, United States of America",,,,,Richardson,Dallas County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Naperville,41.7728699,-88.1479278,"Naperville, IL, United States of America",,,,,Naperville,DuPage County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Melbourne,28.106471,-80.6371513,"Melbourne, FL, United States of America",,,,,Melbourne,Brevard County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Eagan,44.818173,-93.1659179,"Eagan, MN, United States of America",,,,,Eagan,Dakota County,Minnesota,MN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Westland,42.3238056,-83.4005321,"Westland, MI, United States of America",,,,,Westland,Wayne County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dover,39.158168,-75.5243682,"Dover, DE, United States of America",,,,,Dover,Kent County,Delaware,DE,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
New Albany,38.2856247,-85.8241312,"New Albany, IN 47150, United States of America",,,,47150,New Albany,Floyd County,Indiana,IN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
New York City,40.7127281,-74.0060152,"New York, NY, United States of America",,,,,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Troy,42.7284117,-73.6917878,"Troy, NY, United States of America",,,,,Troy,Rensselaer County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chicago,41.8755616,-87.6244212,"Chicago, IL, United States of America",,,,,Chicago,Cook County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gilbert,33.3527632,-111.7890373,"Gilbert, AZ, United States of America",,,,,Gilbert,Maricopa County,Arizona,AZ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Springfield,39.7990175,-89.6439575,"Springfield, IL, United States of America",,,,,Springfield,Sangamon County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jackson,32.3086744,-90.1983063,"Jackson, MS, United States of America",,,,,Jackson,Hinds County,Mississippi,MS,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Memphis,35.1335022,-89.9668758,"Memphis, TN, United States of America",,,,,Memphis,Shelby County,Tennessee,TN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Decatur,39.8454163,-88.9524151,"Decatur, IL, United States of America",,,,,Decatur,Macon County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Durham,35.996653,-78.9018053,"Durham, NC, United States of America",,,,,Durham,Durham County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Columbia,34.0007493,-81.0343313,"Columbia, SC, United States of America",,,,,Columbia,Richland County,South Carolina,SC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rochester,43.157285,-77.615214,"Rochester, NY, United States of America",,,,,Rochester,Monroe County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Minneapolis,44.9772995,-93.2654692,"Minneapolis, MN, United States of America",,,,,Minneapolis,Hennepin County,Minnesota,MN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Portland,45.5202471,-122.674194,"Portland, OR, United States of America",,,,,Portland,Multnomah County,Oregon,OR,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saint Paul,44.9497487,-93.0931028,"Saint Paul, MN, United States of America",,,,,Saint Paul,Ramsey County,Minnesota,MN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aurora,41.7571701,-88.3147539,"Aurora, IL, United States of America",,,,,Aurora,Kane County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Charlotte,35.2272086,-80.8430827,"Charlotte, NC, United States of America",,,,,Charlotte,Mecklenburg County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Orland Park,41.630663,-87.8536288,"Orland Park, IL 60462, United States of America",,,,60462,Orland Park,Cook County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Urbandale,41.6274511,-93.7380243,"Urbandale, IA, United States of America",,,,,Urbandale,Polk County,Iowa,IA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Columbus,39.9622601,-83.0007065,"Columbus, OH, United States of America",,,,,Columbus,Franklin County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bristol,36.5959685,-82.1885009,"Bristol, VA 37625, United States of America",,,Bristol,37625,Bristol,Bristol,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wilmington,39.7459468,-75.546589,"Wilmington, DE, United States of America",,,,,Wilmington,New Castle County,Delaware,DE,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bloomington,39.1670396,-86.5342881,"Bloomington, IN, United States of America",,,,,Bloomington,Monroe County,Indiana,IN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Phoenix,33.4484367,-112.074141,"Phoenix, AZ, United States of America",,,,,Phoenix,Maricopa County,Arizona,AZ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Roseville,38.7521235,-121.2880059,"Roseville, CA, United States of America",,,,,Roseville,Placer County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Independence,39.0924792,-94.4137923,"Independence, MO, United States of America",,,,,Independence,Jackson County,Missouri,MO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pasadena,34.1476452,-118.1444779,"Pasadena, CA, United States of America",,,,,Pasadena,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Newark,40.735657,-74.1723667,"Newark, NJ, United States of America",,,,,Newark,Essex County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
